Player,PositionCategory,Position,Height,Weight,Salary,Experience
Donovan Mitchell,G,SG,73,215,5195501.0,3
Rodney McGruder,G,SG,76,205,5192307.0,4
Bam Adebayo,C,C,81,255,5115492.0,3
Jaxson Hayes,F,PF,83,220,5105160.0,1
Justin Jackson,F,SF,79,220,5029650.0,3
Enes Kanter,C,C,82,250,5005350.0,9
Mike Scott,F,PF,79,237,5005350.0,8
Richaun Holmes,F,PF,82,235,5005350.0,5
Ed Davis,F,PF,81,218,5005350.0,10
Nerlens Noel,C,C,82,220,5000000.0,6
Elfrid Payton,G,PG,75,195,5000000.0,6
Daniel Theis,F,PF,80,245,5000000.0,3
Collin Sexton,G,PG,73,190,4991880.0,2
Pat Connaughton,G,SG,77,209,4938272.0,5
Josh Jackson,F,SF,80,207,4767000.0,3
Kris Dunn,G,PG,75,205,4767000.0,4
Garrett Temple,G,SG,77,195,4767000.0,10
Rui Hachimura,F,PF,80,230,4692840.0,1
Denzel Valentine,F,SF,76,220,4642800.0,3
Kevin Knox II,F,SF,79,215,4588680.0,2
D.J. Wilson,F,PF,82,231,4548280.0,3
Kevon Looney,F,SF,81,222,4464226.0,5
Cam Reddish,F,PF,80,218,4458000.0,1
Reggie Bullock,F,SF,78,205,4200000.0,7
JaVale McGee,C,C,84,270,4200000.0,12
Mikal Bridges,F,SF,78,209,4161000.0,2
Shai Gilgeous-Alexander,G,SG,77,180,4141320.0,2
John Collins,F,PF,81,235,4137302.0,3
Nicolo Melli,F,PF,81,236,4102564.0,1
Willie Cauley-Stein,C,C,84,240,4100000.0,5
Cameron Johnson,G,PG,80,210,4033440.0,1
PJ Washington,F,PF,79,230,4023600.0,1
Patrick McCaw,G,SG,79,181,4000000.0,4
Dorian Finney-Smith,F,SF,79,220,4000000.0,4
Terrance Ferguson,G,SG,78,190,3944013.0,3
Miles Bridges,F,SF,78,225,3934320.0,2
Jevon Carter,G,PG,73,200,3925000.0,2
Jarrett Allen,C,C,83,243,3909902.0,3
OG Anunoby,F,SF,79,232,3872215.0,3
Stanley Johnson,F,SF,78,242,3804150.0,5
Jake Layman,F,SF,80,209,3761085.0,4
Jerome Robinson,G,SG,76,190,3737520.0,2
Danuel House Jr.,F,PF,78,220,3717000.0,4
Romeo Langford,G,PG,76,216,3631200.0,1
Bobby Portis,F,PF,82,250,3623000.0,5
Moe Harkless,F,SF,79,220,3623000.0,8
Wesley Matthews,G,SG,76,220,3623000.0,11
Kyle Kuzma,F,PF,80,221,3562178.0,3
Michael Porter Jr.,F,PF,82,218,3550800.0,1
Tony Bradley,C,C,82,248,3542060.0,3
Derrick White,G,PG,76,190,3516284.0,3
Austin Rivers,G,PG,75,200,3500000.0,8
Bismack Biyombo,C,C,80,255,3500000.0,9
Boban Marjanovic,C,C,88,290,3500000.0,5
T.J. McConnell,G,PG,73,190,3500000.0,5
Josh Hart,G,SG,77,215,3491159.0,3
Sekou Doumbouya,F,PF,80,230,3449400.0,1
Michael Carter-Williams,G,PG,77,190,3300000.0,7
James Ennis III,F,SF,78,215,3300000.0,6
Troy Brown Jr.,F,SF,78,215,3219480.0,2
Nickeil Alexander-Walker,G,PG,77,205,3113160.0,1
Patrick Patterson,F,PF,80,235,3077704.0,10
Donte DiVincenzo,G,SG,76,203,3044160.0,2
Khem Birch,C,C,81,233,3000000.0,3
Trey Burke,G,PG,72,185,3000000.0,7
Ryan Arcidiacono,G,PG,75,195,3000000.0,3
Goga Bitadze,C,C,83,250,2957520.0,1
Lonnie Walker IV,G,SG,77,204,2892000.0,2
Luka Samanic,F,PF,82,227,2892000.0,1
Kevin Huerter,G,SG,79,190,2761920.0,2
Alex Caruso,G,SG,77,186,2750000.0,3
Matisse Thybulle,G,PG,77,200,2711280.0,1
Josh Okogie,G,SG,76,213,2651040.0,2
Vincent Poirier,C,C,84,235,2619207.0,1
Brandon Clarke,F,PF,80,215,2602920.0,1
Tyler Herro,G,PG,77,195,2582160.0,1
